text,offensive
este lixo ...,1
Comunista safada...,1
Comunista lixo!,1
Esquerdista.,1
Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,1
Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,1
O problema dela é que a tetinha secou,1
É uma cara de pau mesmo... 😡,1
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",1
BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,1
Noventa comunista,1
Óleo de peroba pra lustrar a cara de pau!,1
Aí a ganância falou mais alto... corrupta!,1
Devolve o dinheiro roubado via OAS...,1
Isso não passa de uma mera oportunista! não passa de uma múmia esquerdista ainda em atividade minha querida @user.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,1
Q mulher ordinária,1
Vagabunda,1
Deve ter pena dela quando descobrir os podre dela essa imoral,1
Horrorosa vaca suja,1
Hipocrisia esquerdopata oportunista,1
Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,1
Safada sem vergonha ! Velha asquerosa !🤮,1
Safada🤢🤢🤢,1
Pois é deveria ter pena da própria ignorância.,1
Mulherzinha cara de pau🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1
"Vá ter pena da puta que a pariu, corrupta",1
"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela.",1
Sua TONTA SAFADA,1
🤣 Comunista...,1
Senhora Michele Bachelet!,1
Demagoga se locupletando com dinheiro de propina,1
filho da puta,1
Bandidona e pilantrona o leitinho acabou,1
Outra pilantra!,1
Essa senhora é uma currupta igual seus amiguinhos do PT.,1
Terrorista filho da puta,1
LADRA,1
Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,1
"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",1
Pilantra,1
"Sim, ela tem penas.......com certeza",1
Canalha,1
Velha ridícula e bandida!! Parece uma porca,1
Sim porque??? É muita hipocrisia. E a propina...,1
Outra canalha.,1
Esse povo de esquerda é asqueroso e corruptos,1
Propineira com pena pq a mamata acabou.... 🤮🤮,1
"E uma coitada , não tem credibilidade aqui nao",1
@user e a propina recebida pela OAS teve pena quando recebeu?,1
Porque ela é uma ladra morfética,1
Safada !! ONU não vale nada!!,1
Falsa!!!,1
Essa ja fez parte da quadrilha,1
Que devolva a propina e pare de se meter onde nao foi chamada brachelenta!,1
Pilantra vadia,1
Hipocrisia Pura😡😡,1
"Não precisamos da pena de ninguém ,ainda mais dessa desqualificada ,guarde ela ,as muitas penas que tem pra si mesma 🐔, ,sem mais .....",1
Safada,1
"Pena do Brasil??? O qué será que pensa essa corrupta, tentando dar uma de pessoa íntegra, correta, quando não passa de uma vigarista! 😠🤔😠",1
"Percebem que , todo bandido no final de sua gestão , é convidado para trabalhar na ONU ! Porque será ???!",1
Essa é uma canalha esquerdopata! Nós brasileiros não precisamos de suas condolências! Bandida!,1
Que mulher nojenta,1
Quem quer saber a opinião dela?,1
Essa vagabunda não tem que falar nada!,1
Pq é uma PILANTRA do mesmo NÍVEL BAIXO de LULADRÃO E DIMANTA!,1
É uma idiota! Não precisamos da pena dela...,1
"Essa esquerdopata imbecil não consegue ser ouvida nem no Chile, sua terra!",1
Porque é suja e adora dinheiro alheio,1
Clínica. Faz parte da esquerda demoníaca.,1
Mas é falsa hein?Acabou a mamata.quer dinheiro vá trabalhar.,1
"Hipócrita,vai procurar tua turma. O BRASIL não precisa da tua pena.",1
Nojenta! Lava a boca pra falar do nosso Presidente!,1
Eu que tenho pena dessa mulher feia e de um caráter duvidoso.,1
E quando recebeu dinheiro ilegal de propina e portanto de nossos impostos suados? Hipócrita.,1
"Quando ouvimos uma sujeita dessas 💩 falando assim é sinal que estamos no caminho certo. Ela gostava do Brasil quando recebia mesada, dinheiro fruto de roubo.",1
"Otária, BABACA.",1
É típico dessa gente a cara de pau!!!🤢,1
"Bachelet, não tem o que fazer?Sugestão: vau catar coquinho!!!",1
Comunista vagabunda,1
Pq é criminosa do foro de São Paulo !,1
Outra esquerdista cara de pau! Não basta os do Brasil! 😡,1
Essa puta não tem dó da Venezuela???,1
A ONU é pior esquerda que temos no mundo atualmente.,1
Hipócrita 🤬🤬🤬,1
É que o dindin pra ela acabou 😂😂😂,1
"Sério???? Engraçado que quem invadiu a Polônia foram os Nazistas. Você estava comemorando isso???? A invasão???? Fascista que fala, né!!!",1
Puta que pariu,1
"Até pelos comentários, a gente percebe quem é normal e quem é esquerdopata... Por que será né?",1
"SOS UNA BASURA BOLSONARO, DAS TANTO ASCO!!",1
Deje el ego que usted no es más que el Amazonas reciba la plata que usted no es nada el Amazonas es algo,1
Colonialista di merda,1
"Your words are like gasoline , and You put out 🔥 with gasoline.😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 🔥 rainforest.",1
Selva 🇧🇷,1
"Que coisa linda a gente não conhecia, ISSO Políticos LADROES NEM IMAGINAVAM QUE, EXISTIAM TANTOS, PORQUE ???, sabia se um entrasse alguém do exercito deu no que deu, tirar verbas de Vagabundos , PARA SOBRAR PARA O BRASIL, E TEM MULAS QUE AINDA FALAM EM ESQUERDA MEU DEUS AS BURRiCES ESTÃO VENDO A REALIDADE E NÃO ACEITAM , CRIMES INVADINDO OS RESPONSÁVEIS PELO BRASIL, ATÉ ISSO ACORDARAM , NINGUÉM QUE VIROU P ESQUERDA FINGIRAM EM NAIO ENTENDER , BANDIDOS AGINDO JUNTOS COM 0S BANDIDOS DA ESQUERDA E PCC VIU COM QUEM ESSAS MULAS QUETEM QUE FOCAM NO BRASIL????",1
"@user Mas tu é baixo nível, né cara? Dá dó!",1
Fala bandidão,1
"Coitado desse Jão gordo, fracassado.",1
"Aproveite ,logo estará atrás das grades.",1
Ai sabe roubar ...prefeitão de SP....kkkk...,1
E a Amazônia professor? Não dá pra limpar a agenda pra focar nessa emergência? Faz alguma coisa útil. Nem tudo é voto. Onde vocês estão quando o país precisa de vocês ? @user dando palestra e entrevista enquanto a Amazônia queima. Pq vcs não vão no encontro do g20 representar o Brasil já que o bozo não serve pra isso? Bate na porta. Fala vim ajudar. Depois usa isso na campanha. Façam alguma coisa útil porra!,1
"(!!atenção!!numeração duplicada) Lamento o silêncio dos candidatos a presidência 2018, vejo que o Ciro é o mais ativo nas críticas contra o atual Desgoverno. Vocês têm voz!",1
"Que dor no ❤️, toda vez que olho para o Haddad e me dou conta que poderíamos tê-lo como presidente. Intelectual, professor, de uma simplicidade incrível, acima de tudo, humano. Que ao invés disso temos, um lunático, despreparado, incapacitado intelectualmente, ditatorial, autoritário, fascista, desrespeitoso...afff, se continuar ficarei 3 dias adjetivando a “besta fera”.",1
Isso é um doente,1
Esse bolha falador de merdas já passou dos limites so5de ter nascido. 💩,1
"Na moral, onde foi parar a sensatez? Kirchner pode ser esquerda, mas é corrupta pra caralho!!!",1
Interdição nessa praga Já,1
Idiota,1
Só resta aceitar Sr Caga pela boca.,1
Esse lixo só vomita bosta ! Incapaz,1
"Q merda é essa? Ah, Bozo abriu a boca de novo.",1
Quanta besteira dita por este imbecil.,1
"Terrorismo, além do preconceito contra RORAIMA 🤮🤮🤮🤮",1
Que besteira!!! Só podia vir de uma boca insana...,1
Ele vai ter que engolir a esquerdalhada. 💅🏽,1
"Este Senhor, é terrível. 😢",1
Babaca!!!,1
Tão burro que doi😒,1
Oh diabo doido!,1
"O MAIOR ERRO E DIZER QUE ELE DIZPORQUE NA VERDADE ELE NAO DIZ NADA, APENAS CAGA PELA BOCA..",1
ele poderia arrumar o que fazer esse bosta,1
"Mi mi mi mi mi mi mi mi. Vc é uma vergonha, não representa o povo do RS.",1
"Venezuelanos correm para o território brasileiro pedindo socorro,e esses esquerdistas que só pensam no poder apoiando aquele filho da puta daquele psicopata. Falei",1
"Eu acho bom ele dizer bastante cocô,pq assim quem o apoiou pode acordar e perceber que ele mitou e está nós matando de vergonha.",1
Esse demônio só fala merda!,1
Nojo desse homem 🤮🤮🤮,1
esse cavalo batizado no Jordão fala cada merda. 😡,1
CALE-SE BOZO🙈,1
Só fala merda! Fora da realidade,1
Um imbecil inepto ! 🤦🏻‍♂️,1
Esse cara só evacua pela boca?,1
"Como sempre, onde vai estimula ódio. Os ares estiveram poluídos por aqui com a presença desta criatura maléfica.",1
É um babaca....,1
Meus olhos sagram com tanta besteiras que sai da boca desse ser,1
"A esquerda é teimosa, esquece esse lixo. Deixa ele falar, se ninguém ligar pra isso e ser um jeito de achar o Queiroz, logo logo ele cala a boca. Mas vcs ficam dando audiência pra essas idiotices.",1
Esse cara so abre a boca pra falar merda. Cala-te !,1
Indigesto 🤮,1
Esse traste pensa que o Brasil é o quintal da casa dele. Aff!,1
Vai fazer campanha pra Argentina tb? O gado dele não vota lá...,1
"Vou filosofar: O cocô sai pelo ânus, mas pelo jeito, em algumas pessoas do congresso, se acumula no cérebro 💩 🧠",1
Por que será? Bandido defende bandido,1
Não consigo intender a força que estes demônios tem. Tá na hora de botar estes lixos pra fora,1
"Que sirva pra esquerda, que foi a maior propulsora de fakenews nas últimas eleições...",1
QM deve teme.. UM ESTADO COMUNISTA E NAZISTA AGE IGUAL.. ACABEI LEMBRANDO D MADURO E DE CUBA..😂😂😂,1
Todos sem vergonha cupado e o povo que ELEGERÃO,1
"Prisão deveria p esses Ladrões, isso sim.",1
Vai faltar cadeia kkkkk,1
Vao procurar o que fazer vão aprovar coisas mais importantes do que isso seus mequetrefes caras de pau,1
Como eu gostaria que caísse uma bomba no STF!!,1
Pq essas merdas são votadas rapidinho e coisas importantes não são 😡,1
Só quero saber quem irá julgar os esquerdopatas ? Sabemos muito bem que eles são os reis em FakeNews.,1
"Esse congresso é uma Vergonha Nacional, salvo belíssimas excessoes! 😢😢😢",1
"Quem manda é o Congresso e o STF, pelo visto. O pior, é ver a esquerdalha comemorando e dizendo que a militância Bolsonarista é a que mais propaga fake news. Fim dos tempos!",1
"Presidente serve pra PORRA nenhuma, so pra tomar pau da imprensa, pq na hora de fazer algo so toma na cabeca",1
"Que nada! Deram mais um tiro no próprio pé! Quem espalha fake news?? Ós comunistas, ptistas, psolistas e outra iiiistas. Então, nao criemos pânico.",1
Eles fazem isso pq o salário deles está garantido no fim do mês. Esses vagabundos estão contra o povo trabalhador. Intervenção militar já no congresso e no STF.,1
É MUITO LIXO ESSE CONGRESSO!! 🤮,1
"Fecha esse STF ,só faz merda",1
canalhas,1
Congresso do cão,1
Lixo de congresso Senado e STF,1
A petralha tá fudida,1
Absurdooooo!!! Não sei onde vamos parar!! Tem que ter uma solução pra essa pouca vergonha chamada CONGRESSO NACIONAL que deveria defender os interesses do povo mas não fazem outra coisa a não ser defender seus PRÓPRIOS interesses!!🤬🤬🤬🤬🤬🤬,1
"Isso vai ser para todos os partidos ou só para o partido do presidente????? E qual vai ser o critério para isso, e quem cai julgar, porque vi o pt fazer muitos faknews e ninguém fez nada! O próprio candidato do pt às vésperas das eleições aprontou.",1
"OQ VCS DEPUTADOS E SENADORES ESTÃO ESPERANDO P ACABAR C ESTS PALHAÇADA,ELES JAH PASSARAM DO LIMITE DA ORDEM,VÃO SOLTAR O BANDIDO E VAI HAVER MANIFESTOS GRAVES DA SOCIEDADE EM PROTESTO AOS MANDOS E DESMANDOS DLES, ACORDEM,TOMEM ATITUDES QUANTO A ELES...",1
"Pessoal , vamos nos unir sempre. Kim e MBL são nossos aliados. A esquerda deste país se junta e não têm caráter. Ponto. A direita precisa ser firme. Um ou outro ponto poderá ser divergido. Normal. Conversem. DIREITA sempre. Unidos é que vencemos eles. Kim é um político honesto. Ele só precisa ter maldade. E sair do DEM. Claro",1
Acho que foi um tiro no pé....!!! Dos safados.,1
STF uma vergonha nacional,1
"Mas, o que esperar de um congresso quase todo CORROMPIDO? Um reino, uma associação,cooperativa, Senado Federal,Suprema Corte ou até mesmo a Câmara Federal, jamais subsistirá se não estiverem focados no mesmo objetivo(se protege), limitando, diminuindo a interação da sociedade brasileira, em assuntos pertinentes à mesma.",1
Quando vamos ficar livre do STF mesmo?,1
"Vou morrer na prisão,",1
"Pelo visto a justiça vai se ferrar com o volume de processos, as prisões vão entupir de gente. Tem que começar a prender o pessoal da Globo, folga, Uol, o globo, etc. Em dois tempos eles vão pressionar por mudanças.",1
"Pelo que vejo grande parte do congresso legisla somente em causa própria, ladrões, corruptos não podem ser preso mas por fake news sim... Então a Globo está ferrada e PT nem se fala !",1
Bandidos,1
"Isso é o comunismo , são essas criaturas das trevas , 😢😢😢😢😢😢😀",1
Perde o povo brasileiro que te sustenta estes bandidos políticos tarde de mais os três poderes mandam no país o Bolsonaro e figurinha de brinquedo da mídia triste realidade não há mais nada a fazer.,1
Esse Congresso bandido tem mais poder que o presidente!!!,1
😡😡😡 No Congresso Nacional tem bandidos.,1
A globo então deveria ser presa por divulgar um monte de fake news,1
"Mas criminalizar o MST essa bosta que sabemos que é realmente criminoso esse STF vergonha não só nacional, mas INTERNACIONAL!!!",1
Os piores bandidos tão aí STF LIXOS,1
A cada dia rumamos para o fortalecimento da ditadura de criminosos,1
Eu já disse : Se às Forças Armadas não FECHAREM este Congresso Nacional Corrupto nossa NAÇÃO estará condenada à Venezualizacao. Seremos uma Republiqueta bolivariana !,1
Até quando o STF vai trabalhar contra o país?,1
"Cretinos, porrada neles!!! 👊👊👊",1
"Mistura do Chuck com a Chiquinha ! Uma garotinha sueca, de trancinha, com ar de inocência, atriz perfeita para as massas esquerdistas! Que feio. Deveriam ter vergonha!",1
"ELA DIZENDO QUE OS CAPITALISTAS LHES ROUBARAM A INFÂNCIA POR CAUSA DO AQUECIMENTO GLOBAL.. SE ELA SOUBESSE QUE LULA, O PT, O PMDB E CABRAL ROUBARAM ESCOLA, MERENDA, HOSPITAIS, REMÉDIOS DE TODAS AS CRIANÇAS BRASILEIRA.. ACHO QUE ELA NEM BOTAVA A CARA NA ONU....",1
