Emoji,Unicode codepoint,Occurrences,Negative,Neutral,Positive,p-,p0,p+,score,polarity
😂,0x1f602,14622,3614,4163,6845,0.24716181096977158,0.28470797428532346,0.46813021474490496,0.22096840377513338,1
❤,0x2764,8050,355,1334,6361,0.044099378881987575,0.1657142857142857,0.7901863354037267,0.7460869565217392,1
♥,0x2665,7144,252,1942,4950,0.03527435610302351,0.27183650615901456,0.6928891377379619,0.6576147816349384,1
😍,0x1f60d,6359,329,1390,4640,0.05173769460607014,0.218587828274886,0.7296744771190439,0.6779367825129737,1
😭,0x1f62d,5526,2412,1218,1896,0.4364820846905538,0.22041259500542887,0.34310532030401736,-0.09337676438653641,-1
😘,0x1f618,3648,193,702,2753,0.05290570175438596,0.1924342105263158,0.7546600877192983,0.7017543859649124,1
😊,0x1f60a,3186,189,754,2243,0.059322033898305086,0.23666038920276208,0.7040175768989329,0.6446955430006278,1
👌,0x1f44c,2925,274,728,1923,0.09367521367521367,0.24888888888888888,0.6574358974358975,0.5637606837606838,1
💕,0x1f495,2400,99,683,1618,0.04125,0.28458333333333335,0.6741666666666667,0.6329166666666667,1
👏,0x1f44f,2336,243,634,1459,0.10402397260273973,0.2714041095890411,0.6245719178082192,0.5205479452054794,1
😁,0x1f601,2189,278,648,1263,0.1269986295111923,0.29602558245774324,0.5769757880310644,0.4499771585198721,1
☺,0x263a,2062,128,449,1485,0.06207565470417071,0.2177497575169738,0.7201745877788555,0.6580989330746847,1
♡,0x2661,1975,102,448,1425,0.051645569620253164,0.22683544303797468,0.7215189873417721,0.669873417721519,1
👍,0x1f44d,1854,213,460,1181,0.11488673139158576,0.2481121898597627,0.6370010787486515,0.5221143473570657,1
😩,0x1f629,1808,1069,336,403,0.5912610619469026,0.18584070796460178,0.22289823008849557,-0.36836283185840707,-1
🙏,0x1f64f,1539,124,648,767,0.08057179987004548,0.42105263157894735,0.4983755685510071,0.41780376868096164,1
✌,0x270c,1534,173,476,885,0.11277705345501955,0.31029986962190353,0.5769230769230769,0.46414602346805733,1
😏,0x1f60f,1522,170,676,676,0.1116951379763469,0.44415243101182655,0.44415243101182655,0.33245729303547966,0
😉,0x1f609,1521,151,513,857,0.0992767915844839,0.33727810650887574,0.5634451019066403,0.46416831032215644,1
