word,polarity
abafa,-1
abafada,-1
abafadas,-1
abafado,-1
abafados,-1
abafai,-1
abafais,-1
abafam,-1
abafamos,-1
abafando,-1
abafar,-1
abafara,-1
abafaram,-1
abafaras,-1
abafardes,-1
abafarei,-1
abafareis,-1
abafarem,-1
abafaremos,-1
abafares,-1
abafaria,-1
abafariam,-1
abafarias,-1
abafarmos,-1
abafará,-1
abafarás,-1
abafarão,-1
abafaríamos,-1
abafaríeis,-1
abafas,-1
abafasse,-1
abafassem,-1
abafasses,-1
abafaste,-1
abafastes,-1
abafava,-1
abafavam,-1
abafavas,-1
abafe,-1
abafei,-1
abafeis,-1
abafem,-1
abafemos,-1
abafes,-1
abafo,-1
abafou,-1
abafáramos,-1
abafáreis,-1
abafásseis,-1
abafássemos,-1
abafávamos,-1
abafáveis,-1
abaixa,-1
abaixada,-1
abaixadas,-1
abaixado,-1
abaixados,-1
abaixai,-1
abaixais,-1
abaixam,-1
abaixamos,-1
abaixando,-1
abaixar,-1
abaixara,-1
abaixaram,-1
abaixaras,-1
abaixardes,-1
abaixarei,-1
abaixareis,-1
abaixarem,-1
abaixaremos,-1
abaixares,-1
abaixaria,-1
abaixariam,-1
abaixarias,-1
abaixarmos,-1
abaixará,-1
abaixarás,-1
abaixarão,-1
abaixaríamos,-1
abaixaríeis,-1
abaixas,-1
abaixasse,-1
abaixassem,-1
abaixasses,-1
abaixaste,-1
abaixastes,-1
abaixava,-1
abaixavam,-1
abaixavas,-1
abaixe,-1
abaixei,-1
abaixeis,-1
abaixem,-1
abaixemos,-1
abaixes,-1
abaixo,-1
abaixou,-1
abaixáramos,-1
abaixáreis,-1
abaixásseis,-1
abaixássemos,-1
abaixávamos,-1
abaixáveis,-1
abala,-1
abalada,-1
abaladas,-1
abalado,-1
abalados,-1
abalai,-1
abalais,-1
abalam,-1
abalamos,-1
abalando,-1
abalar,-1
abalara,-1
abalaram,-1
abalaras,-1
abalardes,-1
abalarei,-1
abalareis,-1
abalarem,-1
abalaremos,-1
abalares,-1
abalaria,-1
abalariam,-1
abalarias,-1
abalarmos,-1
abalará,-1
abalarás,-1
abalarão,-1
abalaríamos,-1
abalaríeis,-1
abalas,-1
abalasse,-1
abalassem,-1
abalasses,-1
abalaste,-1
abalastes,-1
abalava,-1
abalavam,-1
abalavas,-1
abale,-1
abalei,-1
abaleis,-1
abalem,-1
abalemos,-1
abales,-1
abalo,-1
abalou,-1
abaláramos,-1
abaláreis,-1
abalásseis,-1
abalássemos,-1
abalávamos,-1
abaláveis,-1
abandon,0
abandona,0
abandonada,0
abandonadas,0
abandonado,0
abandonados,0
abandonai,0
abandonais,0
abandonam,0
abandonamos,0
abandonando,0
abandonar,0
abandonara,0
abandonaram,0
abandonaras,0
abandonardes,0
abandonarei,0
abandonareis,0
abandonarem,0
abandonaremos,0
abandonares,0
abandonaria,0
abandonariam,0
abandonarias,0
abandonarmos,0
abandonará,0
abandonarás,0
abandonarão,0
abandonaríamos,0
abandonaríeis,0
abandonas,0
abandonasse,0
abandonassem,0
abandonasses,0
abandonaste,0
abandonastes,0
abandonava,0
abandonavam,0
abandonavas,0
abandone,0
abandonei,0
abandoneis,0
abandonem,0
abandonemos,0
abandones,0
abandono,-1
abandonou,0
abandonáramos,0
abandonáreis,0
abandonásseis,0
abandonássemos,0
abandonávamos,0
abandonáveis,0
abarca,0
abarcada,0
abarcadas,0
abarcado,0
abarcados,0
abarcai,0
abarcais,0
abarcam,0
abarcamos,0
abarcando,0
abarcar,0
abarcara,0
abarcaram,0
abarcaras,0
abarcardes,0
abarcarei,0
abarcareis,0
abarcarem,0
abarcaremos,0
abarcares,0
abarcaria,0
abarcariam,0
abarcarias,0
abarcarmos,0
abarcará,0
abarcarás,0
abarcarão,0
abarcaríamos,0
abarcaríeis,0
abarcas,0
abarcasse,0
abarcassem,0
abarcasses,0
abarcaste,0
abarcastes,0
abarcava,0
abarcavam,0
abarcavas,0
abarco,0
abarcou,0
abarcáramos,0
abarcáreis,0
abarcásseis,0
abarcássemos,0
abarcávamos,0
abarcáveis,0
abarque,0
abarquei,0
abarqueis,0
abarquem,0
abarquemos,0
abarques,0
abarrotada,0
abarrotadas,0
abarrotado,0
abarrotados,0
abas,0
abastado,0
abastados,0
abastarda,-1
abastardada,-1
abastardadas,-1
abastardado,-1
abastardados,-1
abastardai,-1
abastardais,-1
abastardam,-1
abastardamos,-1
abastardando,-1
abastardar,-1
abastardara,-1
abastardaram,-1
abastardaras,-1
abastardardes,-1
abastardarei,-1
abastardareis,-1
abastardarem,-1
abastardaremos,-1
abastardares,-1
abastardaria,-1
abastardariam,-1
abastardarias,-1
abastardarmos,-1
abastardará,-1
abastardarás,-1
abastardarão,-1
abastardaríamos,-1
abastardaríeis,-1
abastardas,-1
abastardasse,-1
abastardassem,-1
abastardasses,-1
abastardaste,-1
abastardastes,-1
abastardava,-1
abastardavam,-1
abastardavas,-1
abastarde,-1
abastardei,-1
abastardeis,-1
abastardem,-1
abastardemos,-1
abastardes,-1
abastardo,-1
abastardou,-1
abastardáramos,-1
abastardáreis,-1
abastardásseis,-1
abastardássemos,-1
abastardávamos,-1
abastardáveis,-1
abastece,0
abastecei,0
abasteceis,0
abastecem,0
abastecemos,0
abastecendo,0
abastecer,0
abastecera,0
abasteceram,0
abasteceras,0
abastecerdes,0
abastecerei,0
abastecereis,0
abastecerem,0
abasteceremos,0
abasteceres,0
abasteceria,0
abasteceriam,0
abastecerias,0
abastecermos,0
abastecerá,0
abastecerás,0
abastecerão,0
abasteceríamos,0
abasteceríeis,0
abasteces,0
abastecesse,0
abastecessem,0
abastecesses,0
abasteceste,0
abastecestes,0
abasteceu,0
abasteci,0
abastecia,0
abasteciam,0
abastecias,0
abastecida,0
abastecidas,0
abastecido,0
abastecidos,0
abastecêramos,0
abastecêreis,0
abastecêsseis,0
abastecêssemos,0
abastecíamos,0
abastecíeis,0
abasteça,0
abasteçais,0
abasteçam,0
abasteçamos,0
abasteças,0
abasteço,0
abata,-1
abatais,-1
abatam,-1
abatamos,-1
abatas,-1
abate,-1
abatei,-1
abateis,-1
abatem,-1
abatemos,-1
abatendo,-1
abater,-1
abatera,-1
abateram,-1
abateras,-1
abaterdes,-1
abaterei,-1
abatereis,-1
abaterem,-1
abateremos,-1
abateres,-1
abateria,-1
abateriam,-1
abaterias,-1
abatermos,-1
abaterá,-1
abaterás,-1
abaterão,-1
abateríamos,-1
abateríeis,-1
abates,-1
abatesse,-1
abatessem,-1
abatesses,-1
abateste,-1
abatestes,-1
abateu,-1
abati,-1
abatia,-1
abatiam,-1
abatias,-1
abatida,-1
abatidas,-1
abatido,-1
abatidos,-1
abatimento,-1
abatimentos,0
abato,-1
abatêramos,-1
abatêreis,-1
abatêsseis,-1
abatêssemos,-1
abatíamos,-1
abatíeis,-1
abcesso,0
abdome,0
abdomen,0
abdomens,0
abdominais,0
abdominal,0
abdôme,0
abdômem,0
abdômen,0
abdômens,0
abdômes,0
abençoa,0
abençoada,0
abençoadas,0
abençoado,0
abençoados,0
abençoai,0
abençoais,0
abençoam,0
abençoamos,0
abençoando,0
abençoar,0
abençoara,0
abençoaram,0
abençoaras,0
abençoardes,0
abençoarei,0
abençoareis,0
abençoarem,0
abençoaremos,0
abençoares,0
abençoaria,0
abençoariam,0
abençoarias,0
abençoarmos,0
abençoará,0
abençoarás,0
abençoarão,0
abençoaríamos,0
abençoaríeis,0
abençoas,0
abençoasse,0
abençoassem,0
abençoasses,0
abençoaste,0
abençoastes,0
abençoava,0
abençoavam,0
abençoavas,0
abençoe,0
abençoei,0
abençoeis,0
abençoem,0
abençoemos,0
abençoes,0
abençoou,0
abençoáramos,0
abençoáreis,0
abençoásseis,0
abençoássemos,0
abençoávamos,0
abençoáveis,0
abençôo,0
aberração,0
aberrações,0
aberta,1
abertamente,0
abertas,1
aberto,1
abertos,1
abertura,-1
aberturas,0
abisma,1
abismada,1
abismadas,1
abismado,1
abismados,1
abismai,1
abismais,1
abismam,1
abismamos,1
abismando,1
abismar,1
abismara,1
abismaram,1
abismaras,1
abismardes,1
abismarei,1
abismareis,1
abismarem,1
abismaremos,1
abismares,1
abismaria,1
abismariam,1
abismarias,1
abismarmos,1
abismará,1
abismarás,1
abismarão,1
abismaríamos,1
abismaríeis,1
abismas,1
abismasse,1
abismassem,1
abismasses,1
abismaste,1
abismastes,1
abismava,1
abismavam,1
abismavas,1
abisme,1
abismei,1
abismeis,1
abismem,1
abismemos,1
abismes,1
abismo,1
abismos,0
abismou,1
abismáramos,1
abismáreis,1
abismásseis,1
abismássemos,1
abismávamos,1
abismáveis,1
aboli,0
abolia,0
aboliam,0
abolias,0
abolido,0
abolidos,0
abolimos,0
abolira,0
aboliram,0
aboliras,0
aboliste,0
abolistes,0
aboliu,0
abolíamos,0
abolíeis,0
abolíramos,0
abolíreis,0
abominavelmente,-1
abono,0
abonos,0
aborda,0
abordada,0
abordadas,0
abordado,0
abordados,0
abordai,0
abordais,0
abordam,0
abordamos,0
abordando,0
abordar,0
abordara,0
abordaram,0
abordaras,0
abordardes,0
abordarei,0
abordareis,0
abordarem,0
abordaremos,0
abordares,0
abordaria,0
abordariam,0
abordarias,0
abordarmos,0
abordará,0
abordarás,0
abordarão,0
abordaríamos,0
abordaríeis,0
abordas,0
abordasse,0
abordassem,0
abordasses,0
abordaste,0
abordastes,0
abordava,0
abordavam,0
abordavas,0
aborde,0
abordei,0
abordeis,0
abordem,0
abordemos,0
abordes,0
abordo,0
abordou,0
abordáramos,0
abordáreis,0
abordásseis,0
abordássemos,0
abordávamos,0
abordáveis,0
aborrece,-1
aborrecei,-1
aborreceis,-1
aborrecem,-1
aborrecemos,-1
aborrecendo,-1
aborrecendo-se,-1
aborrecer,-1
aborrecera,-1
aborreceram,-1
aborreceras,-1
aborrecerdes,-1
aborrecerei,-1
aborrecereis,-1
aborrecerem,-1
aborreceremos,-1
aborreceres,-1
aborreceria,-1
aborreceriam,-1
aborrecerias,-1
aborrecermos,-1
aborrecerá,-1
aborrecerás,-1
aborrecerão,-1
aborreceríamos,-1
aborreceríeis,-1
aborreces,-1
aborrecesse,-1
aborrecessem,-1
aborrecesses,-1
aborreceste,-1
aborrecestes,-1
aborreceu,-1
aborreci,-1
aborrecia,-1
aborreciam,-1
aborrecias,-1
aborrecida,-1
aborrecidas,-1
aborrecido,-1
aborrecido-se,-1
aborrecidos,-1
aborrecimento,0
aborrecimentos,0
aborrecêramos,-1
aborrecêreis,-1
aborrecêsseis,-1
aborrecêssemos,-1
aborrecíamos,-1
aborrecíeis,-1
aborreça,-1
aborreçais,-1
aborreçam,-1
aborreçamos,-1
aborreças,-1
aborreço,-1
aborta,0
abortada,0
abortadas,0
abortado,0
abortados,0
abortai,0
abortais,0
abortam,0
abortamos,0
abortando,0
abortar,0
abortara,0
abortaram,0
abortaras,0
abortardes,0
abortarei,0
abortareis,0
abortarem,0
abortaremos,0
abortares,0
abortaria,0
abortariam,0
abortarias,0
abortarmos,0
abortará,0
abortarás,0
abortarão,0
abortaríamos,0
abortaríeis,0
abortas,0
abortasse,0
abortassem,0
abortasses,0
abortaste,0
abortastes,0
abortava,0
abortavam,0
abortavas,0
aborte,0
abortei,0
aborteis,0
abortem,0
abortemos,0
abortes,0
aborto,0
abortos,0
