,term-or-expression,explicit-or-implicit,pt-brazilian-portuguese,pt-contextual-label,pt-hate-label,pt-deeply-culture-rooted,en-american-english,en-contextual-label,en-hate-label,es-latin-spanish,es-contextual-label,es-hate-label,fr-african-french,fr-contextual-label,fr-hate-Label,ge-german,ge-contextual-label,ge-hate-Label,tu-turkish,tu-contextual-label,tu-hate-Label,Meaning Sources
0,term,explicit,chorume,1.0,0,0.0,rotten,0.0,0,0,0.0,0,0,0.0,0,Scheiße,0.0,0,bulamaç,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/chorume
1,term,explicit,baixaria,1.0,0,0.0,fuckfest,1.0,0,vileza,1.0,0,0,0.0,0,Betrüger,1.0,0,değersiz,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/baixaria/
2,term,explicit,cu,0.0,0,0.0,asshole,0.0,0,culo,0.0,0,cul,0.0,0,Arsch ,0.0,0,büzük,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/cu/
3,expression,explicit,cu pra tomar,1.0,0,0.0,out on your ass,1.0,0,culo para coger,1.0,0,cul à prendre,1.0,0,Schieb es dir sonst wohin,1.0,0,götüne sok,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/out-on-your-ass?q=out+your+ass
4,term,explicit,vagabundo,1.0,0,0.0,degenerate,1.0,0,vagabundo ,1.0,0,clochard,1.0,0,Penner,1.0,0,serseri,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/vagabundo/
5,term,explicit,vagabunda,1.0,sexism,0.0,slut,1.0,sexism,prostituta,1.0,sexism,salope,1.0,sexism,Schlampe,1.0,sexism,orospu,1.0,sexism,"https://www.dicio.com.br/vagabunda/#:~:text=Significado%20de%20Vagabunda,embora%20n%C3%A3o%20viva%20da%20prostitui%C3%A7%C3%A3o."
6,term,explicit,vagaba,1.0,sexism,0.0,slut,1.0,sexism,prostituta,1.0,sexism,garce,1.0,sexism,Schlampe,1.0,sexism,orospu,1.0,sexism,"https://www.dicio.com.br/vagabunda/#:~:text=Significado%20de%20Vagabunda,embora%20n%C3%A3o%20viva%20da%20prostitui%C3%A7%C3%A3o."
7,term,explicit,idiota,1.0,0,0.0,stupid,1.0,0,idiota,1.0,0,idiot,1.0,0,Idiot,1.0,0,geri zekalı,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/idiota/
8,term,explicit,indiota,1.0,0,0.0,stupid,1.0,0,idiota,1.0,0,indien,1.0,0,Idiot,1.0,0,geri zekalı,1.0,0,https://dictionary.cambridge.org/dictionary/english/idiotic
9,term,explicit,canalha,1.0,0,0.0,jerk,1.0,0,canalla,1.0,0,canaille,1.0,0,Gauner/Schurke ,1.0,0,alçak,1.0,0,https://www.dicio.com.br/canalha/
10,expression,explicit,filho da puta,1.0,0,0.0,son of a bitch,1.0,0,hijo de puta,1.0,0,fils de pute,1.0,0,Hurensohn,1.0,0,orospu Çocuğu,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles-portugues/son-of-a-bitch
11,expression,explicit,filha da puta,1.0,0,0.0,motherfucker,1.0,0,hija de puta,1.0,0,enfoiré,1.0,0,Hurentochter,1.0,0,orospu Çocuğu,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/motherfucker
12,term,explicit,inútil,0.0,0,0.0,loser,0.0,0,inútil,0.0,0,inutile,0.0,0,Nutzlos/Wetlos,0.0,0,kullanışsız,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/in%C3%BAtil/
13,term,explicit,trouxa,0.0,0,0.0,dumbass,0.0,0,gil,0.0,0,0,0.0,0,Depp ,0.0,0,Aptal,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/trouxa/
14,term,explicit,foda se,1.0,0,0.0,fuck it,1.0,0,jodete,1.0,0,va te faire foutre,1.0,0,Leck mich (doch) am Arsch / Du kannst mich mal,1.0,0,Kahretsin,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+it
15,term,explicit,foda-se,1.0,0,0.0,fuck it,1.0,0,jodete,1.0,0,putain de ,1.0,0,Scheiße/ Verdammt,1.0,0,Siktir et,1.0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+it
16,term,explicit,jegue,0.0,0,0.0,dumbass,0.0,0,burro,0.0,0,0,0.0,0,Vollidiot,0.0,0,Sersem,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/jegue/
17,term,explicit,nojo,0.0,0,0.0,yuck,0.0,0,asco,0.0,0,dégoût,0.0,0,Ekel,0.0,0,İğrenç,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/nojo/
18,term,explicit,lixo,0.0,0,0.0,garbage,0.0,0,basura,0.0,0,0,0.0,0,Müll / menschlicher Abfall,0.0,0,pislik,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/lixo/
19,term,explicit,crápula,1.0,0,0.0,bastard,1.0,0,sinverguenza,1.0,0,salaud,1.0,0,Dreckskerl,1.0,0,dolandırıcı,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/cr%C3%A1pula/
20,term,explicit,bandido,1.0,0,0.0,thug,1.0,0,bandido,1.0,0,bandit,1.0,0,Dieb / Gangster,1.0,0,haydut,1.0,0,https://www.dicio.com.br/bandido/
21,term,explicit,corja,0.0,0,0.0,scorn,0.0,0,chusma,1.0,0,0,0.0,0,Gesindel / Pack,0.0,0,ayak takımı,0.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/corja/
22,term,explicit,trapaceiro,1.0,0,0.0,cheater,1.0,0,tramposo,1.0,0,infidèle,1.0,0,Betrüger,1.0,0,dolandırıcı,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/trapaceiro/
23,term,explicit,maldito,1.0,0,0.0,damned ,1.0,0,maldito,1.0,0,maudit,1.0,0,Ausgestoßener / Verdammter,1.0,0,lanet olsun,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/maldito/
24,term,explicit,familicia,1.0,partyism,1.0,0,1.0,partyism,0,0.0,partyism,0,1.0,partyism,0,1.0,partyism,0,1.0,partyism,"""term used to refer to Bolsonaro's family"""
25,term,explicit,fiofó,1.0,0,0.0,arse,1.0,0,0,0.0,0,0,0.0,0,Arsch,1.0,0,anüs,1.0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/fiof%C3%B3/
26,term,explicit,arrombar,0.0,0,0.0,to drill,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,aşağılamak,0.0,0,https://www.dicio.com.br/arrombar/
